situation elements:2
	8|Gen|5535
	31|Date|2018-02-10 02:17:18.704000
		instrument count:4
		xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
			instrument:8|USDT_ETH
			last:848.83033036
			high24hr:862.00000000
			highestbid:848.83033067
			percentchange:0.03879819
			low24hr:778.66740711
			lowestask:851.93125154
			candle300|288
				1518137100|795.37156954|788.02842580|790.79038126|794.97769989|790.52152855|46534.96266467
				1518136800|803.79944609|794.97769989|794.97769989|797.11734161|797.27280931|19266.21019544
				1518136500|800.41844069|791.46062324|800.41844069|799.82819503|797.37445072|69701.70699656
				1518136200|805.78923977|799.51532000|799.82819503|802.34923978|800.57705413|49867.09876410
				1518135900|810.00911518|802.38679940|802.38679940|810.00911518|808.85778342|3373.92760545
				1518135600|810.00911521|803.19904091|810.00911521|803.19904091|803.43011390|3768.99086813
				1518135300|809.33539799|802.04536607|807.20904074|808.00000009|804.30708213|25575.23604833
				1518135000|809.29991502|805.59680093|805.59680093|808.00000000|807.10497596|80492.56149704
				1518134700|813.00000000|806.47999612|808.00000000|813.00000000|810.01743079|72108.21378012
				1518134400|816.72104533|813.00000106|814.61629618|814.99999999|815.24268048|13378.66578379
				1518134100|815.00000000|813.00000003|815.00000000|815.00000000|814.99737655|22773.77209285
				1518133800|814.99999999|810.46633835|814.06405844|810.49633827|813.11492518|66601.04755965
				1518133500|812.87633810|809.88625258|812.87620000|812.87633810|811.98951100|12870.09160362
				1518133200|813.93175451|808.95175463|813.33175453|813.93175451|811.69164335|17681.89312889
				1518132900|814.80889262|811.19226110|813.80889264|812.91889269|813.43352984|15397.58477846
				1518132600|815.81450257|812.91889268|812.91889268|812.92736120|814.60544653|23896.46693577
				1518132300|813.81463400|807.51756321|812.92736120|807.51756322|809.00895737|19181.57461407
				1518132000|808.00000000|807.51756320|807.51756321|808.00000000|807.98310330|5964.35554034
				1518131700|809.82889263|807.51756320|808.00000000|809.60835065|809.08880266|8501.32804773
				1518131400|810.88782452|807.20756316|810.40835021|810.88782452|807.50396130|7186.20382048
				1518131100|809.00756305|807.00000000|808.76756313|808.65644952|808.39240977|51120.43686130
				1518130800|812.07756312|809.61756312|809.61756312|810.65317565|810.54796366|2448.68586457
				1518130500|814.36663768|808.20900018|810.65317565|809.84002555|810.71709254|31744.65866641
				1518130200|814.99999962|810.00000000|810.00000000|813.80000000|812.79711799|14451.47370012
				1518129900|815.00000003|812.96839583|814.99999988|815.00000003|813.98373271|105044.19037740
				1518129600|819.05092347|812.72839583|815.00000003|812.72839583|815.88684999|42972.22240184
				1518129300|815.09238517|810.04727662|812.46600033|811.43727656|814.12393278|27757.55113276
				1518129000|811.24110485|800.00000000|811.24110485|800.00000000|803.05036327|83570.44408293
				1518128700|800.00000000|797.52135767|800.00000000|798.42182621|798.45429033|13289.12750165
				1518128400|805.52135443|798.42182621|798.42182621|802.02135777|799.41295320|31523.87160804
				1518128100|805.52135691|802.18135765|802.98135775|805.00000000|804.26605763|8802.01562918
				1518127800|803.55637172|800.18135765|803.55637172|802.39374500|801.46688236|15822.38681208
				1518127500|802.99999998|797.14182911|801.00000001|800.46021600|799.72756591|28930.57510231
				1518127200|805.51733714|800.80774399|803.00000000|805.51733714|802.90216725|25922.92384229
				1518126900|807.84038520|804.00000000|804.00000000|807.84038520|805.53687761|34321.37119223
				1518126600|808.85854317|804.50000000|808.23362170|804.65490911|806.38418403|21443.48662312
				1518126300|805.04038519|804.78038487|804.78038487|805.04038519|805.03945384|1798.25349080
				1518126000|806.50860000|801.72946559|801.96238523|802.66238572|804.08642796|31703.60325868
				1518125700|806.36238517|801.72946559|805.98238522|802.72000000|804.07184116|7432.73167872
				1518125400|806.50853957|802.72000000|802.72000000|805.00000000|805.35144815|20649.07062911
				1518125100|806.36399172|801.72946562|806.36399172|803.00000000|803.39271619|15949.99886994
				1518124800|807.18046486|803.00000003|804.65754220|804.72946559|805.25238265|49025.69142918
				1518124500|810.90868725|804.56854360|804.56854360|810.00000000|809.26967018|137685.05594130
				1518124200|812.41053342|806.64854353|811.31021002|806.64854353|810.34427391|70687.78977120
				1518123900|807.58813185|803.06533055|806.02854344|805.49000000|804.43847013|51043.99815031
				1518123600|806.00000000|804.99000000|805.00000003|804.99900000|805.00669961|204507.68055778
				1518123300|804.99900000|803.78483860|804.99900000|804.10000000|804.63394024|141507.66064651
				1518123000|808.00000000|804.10000000|804.10000000|805.42033875|805.54047699|41075.90116184
				1518122700|811.35150871|805.72833994|805.72833995|811.00000000|809.18095013|137634.55703663
				1518122400|815.00000000|810.00000012|810.00000012|813.99999997|814.48344346|27051.22024465
				1518122100|816.70059383|814.85743635|814.85743635|816.70059383|815.03332837|5869.72159706
				1518121800|816.00000000|814.00000000|816.00000000|814.85743635|815.07957327|17279.01870228
				1518121500|815.00000000|812.49150877|812.49150877|814.99999997|813.61220956|14378.04362461
				1518121200|815.00000000|812.58288236|815.00000000|813.39385229|813.68931617|33786.66123573
				1518120900|816.04634857|813.34634875|813.34634875|815.91955200|814.88940583|3062.85161634
				1518120600|818.18710000|812.89385230|814.13922555|812.89385230|814.33582670|7778.12995172
				1518120300|813.99999997|810.00000000|813.20000000|812.99999999|811.81381690|25835.35899481
				1518120000|817.99999969|810.00000000|813.00000000|815.38328992|813.32300766|38384.19488466
				1518119700|823.10328986|815.00000004|818.18709997|822.00000000|819.52855629|37608.32362571
				1518119400|824.55328986|820.08321541|823.18710787|822.78321529|822.84589754|19501.91557606
				1518119100|822.78321529|816.00000000|822.78321529|816.00000000|818.90970232|20769.63823797
				1518118800|818.00000000|813.58993875|815.00000000|818.00000000|814.93744967|26961.25398530
				1518118500|818.99999997|810.00000000|818.00000000|810.00000000|817.66253597|47519.91910617
				1518118200|811.00000000|809.16425440|811.00000000|810.00000000|810.17865388|39652.14867509
				1518117900|813.70425439|809.16425440|809.16425440|813.70425439|810.87845081|7936.90042973
				1518117600|815.25978590|809.00000000|811.88425414|811.60452153|811.39481724|51886.07602101
				1518117300|811.60452149|803.00000000|811.60452149|803.00000000|809.14988220|67154.36003226
				1518117000|803.00000000|800.74452154|803.00000000|801.00000001|802.87898912|8292.87494381
				1518116700|801.99999997|798.54452156|800.74452154|800.00000000|800.09480039|3820.08227598
				1518116400|803.00000000|799.05452165|800.00000000|800.00000001|801.72725910|81855.67311392
				1518116100|803.76621105|798.08950017|801.00000000|798.80000000|801.93193764|20865.23232013
				1518115800|798.80452152|798.00000000|798.00000000|798.80452152|798.10364162|209000.12310762
				1518115500|800.01127546|796.49999991|798.80452152|796.49999991|797.27342498|4404.97202074
				1518115200|796.80000000|793.05556183|796.49999991|793.05556183|794.13345963|5716.18730218
				1518114900|796.81571150|791.00000017|793.23146440|793.90842584|794.57937646|21872.20841483
				1518114600|796.81571109|791.15863777|791.15863777|794.26842589|795.19299238|38494.61307019
				1518114300|796.81571147|793.21869398|796.81571147|793.21869398|796.21286225|12024.67899044
				1518114000|792.06869397|788.31379753|791.00000008|789.98869397|790.10865552|14886.00721732
				1518113700|790.00000000|786.00000001|789.99869397|786.46869399|789.84431054|200776.03672931
				1518113400|787.00000000|783.99999999|786.09300002|784.00000000|784.75414931|45519.63393536
				1518113100|795.28062759|784.00000002|785.64044212|795.28062759|788.50008446|94562.63100790
				1518112800|796.81571128|790.10000000|796.08062754|793.52400001|793.62752647|48437.97861786
				1518112500|796.81571150|790.00000000|793.99999997|796.81571150|792.05097868|70163.55066598
				1518112200|802.99999981|796.81571156|798.23010174|800.81699993|799.74471090|57543.33942065
